StationId,NumberWeekdayStartUsers,NumberWeekdayReturnUsers,NumberWeekendStartUsers,NumberWeekendReturnUsers
72,2684,891,2659,849
79,3653,1381,3727,1404
82,818,323,772,314
83,1105,484,1387,502
116,2811,710,2708,680
119,82,35,95,32
120,458,193,495,214
127,3607,881,3480,764
128,3487,1151,3602,1168
137,473,174,547,165
143,643,273,655,257
144,224,193,212,158
146,1863,505,1674,479
147,2931,1081,3026,1196
150,1188,416,1321,412
151,3963,1692,4090,1688
152,1997,657,1945,710
153,2470,580,2485,540
157,1095,581,1168,612
160,1340,361,1244,379
161,2678,948,2687,940
164,1909,434,1885,402
167,2427,476,2469,462
168,3410,912,3422,995
173,2907,715,2715,688
174,1572,367,1577,321
195,2685,682,2689,717
212,2189,783,2155,747
216,519,336,392,300
217,1170,863,1270,887
218,309,132,389,156
223,1763,565,1763,536
224,1548,635,1455,607
225,1942,1061,2030,1189
228,1719,276,1803,288
229,2702,793,2736,810
232,754,394,730,464
233,1358,384,1425,393
236,2677,1155,2887,1165
237,2629,1067,2804,1067
238,2224,882,2218,883
239,656,137,607,110
241,652,285,567,305
242,661,190,623,183
243,1396,290,1225,243
244,704,226,706,193
245,287,109,230,110
247,1279,720,1325,708
248,746,160,735,163
249,1326,328,1370,324
250,1341,451,1342,450
251,2763,1104,2701,1123
252,1750,722,1703,654
253,2032,571,2127,566
254,2062,685,2049,649
257,1939,462,1972,476
258,374,192,330,174
259,1441,496,1398,482
260,1071,267,1008,266
261,801,315,814,324
262,536,227,457,179
263,2023,901,2021,942
264,1825,521,1938,557
265,1530,679,1713,759
266,678,216,710,216
267,1497,402,1402,401
268,2155,736,2147,727
270,831,276,741,255
271,1194,423,1337,432
274,745,345,822,402
275,324,142,319,124
276,1476,516,1376,493
278,401,151,405,153
279,357,163,371,168
280,1915,515,1873,505
281,3410,1930,3464,2041
282,382,237,464,247
284,3255,1066,3374,1072
285,5310,1857,5146,1906
289,245,84,205,93
290,2976,920,2921,941
291,926,354,953,341
293,5279,1700,5305,1621
294,2732,845,2628,845
295,780,277,784,307
296,1306,580,1344,644
297,1791,658,1825,641
298,298,94,348,124
300,713,197,1019,230
301,2218,1003,2355,1046
302,641,241,736,240
303,2283,595,2479,764
304,2794,875,2933,1026
305,3117,947,3207,1019
306,2227,827,2274,864
307,1782,762,1844,723
308,1151,489,1099,507
309,1792,698,1930,757
310,1249,631,1421,704
311,1415,657,1506,610
312,2546,1022,2506,1028
313,445,161,519,185
314,875,298,823,319
315,2094,985,2028,973
316,1689,484,1638,452
317,1996,863,2136,856
318,4104,422,3829,388
319,2339,434,2216,446
320,2004,539,1941,513
321,120,55,117,52
322,850,410,838,422
323,3176,1047,3257,1061
324,2207,907,2347,898
325,2388,688,2287,681
326,2568,1043,2533,1104
327,5035,1794,5017,1815
328,2033,670,2055,710
329,2749,813,2861,835
330,1756,387,1682,325
331,758,395,786,367
332,854,466,891,465
334,2814,734,2719,773
335,2186,502,2053,468
336,2169,630,2210,650
337,1541,363,1566,322
339,392,113,439,97
340,818,303,869,273
341,714,267,723,250
342,1184,378,1315,353
343,302,186,381,142
344,250,113,284,112
345,2975,904,2855,893
346,1853,834,1809,798
347,3903,1105,3964,1135
348,2804,959,3052,978
349,1164,425,1170,428
350,1554,694,1612,649
351,1688,681,1757,755
352,2866,859,3103,813
353,404,178,422,180
354,352,125,451,142
355,1717,674,1638,657
356,1136,460,1194,416
357,2110,535,2034,482
358,3485,1561,3507,1653
359,2275,406,2563,389
360,1661,408,1685,384
361,1702,559,1684,572
362,1601,271,1225,255
363,4168,1994,4227,2175
364,472,171,471,162
365,415,157,504,174
366,950,340,978,355
367,2146,445,2224,441
368,4083,1655,4341,1703
369,1807,690,1805,626
372,195,100,234,92
373,376,225,417,230
375,2928,954,2941,942
376,1561,482,1435,450
377,1966,544,2033,563
379,2708,439,2286,353
380,3211,1061,3235,1058
382,3883,1031,3837,1135
383,1906,594,2009,573
384,676,365,768,342
385,1311,397,1193,398
386,2015,519,1883,512
387,3570,1720,3399,1771
388,3035,879,3109,847
389,530,322,599,304
390,572,145,546,147
391,1664,653,1528,627
392,233,100,302,106
393,1103,464,1168,445
394,1872,792,1993,772
395,919,325,870,377
396,656,220,710,245
397,324,184,344,171
398,953,690,1158,746
399,425,160,438,159
400,671,196,654,199
401,2685,1145,2706,1189
402,4202,1218,4358,1233
403,1814,795,1982,814
404,3156,1184,3406,1256
405,2532,978,2615,1015
406,1091,512,1096,496
407,323,239,191,166
408,884,364,915,347
409,250,85,242,87
410,2104,958,2078,950
411,768,335,867,322
412,1347,539,1395,625
414,963,373,1093,432
415,1898,603,1975,585
